
1,John,Doe,<class 'str'>
2,Jane,Smith,<class 'str'>
3,Emily,Jones,<class 'str'>
4,Michael,Brown,<class 'str'>
5,Sarah,Johnson,<class 'str'>
6,David,Williams,<class 'str'>
7,Laura,Garcia,<class 'str'>
8,James,Martinez,<class 'str'>
9,Olivia,Lopez,<class 'str'>
10,Daniel,Gonzalez,<class 'str'>
11,Mia,Wilson,<class 'str'>
12,Matthew,Anderson,<class 'str'>
13,Isabella,Thomas,<class 'str'>
14,Joshua,Taylor,<class 'str'>
15,Sophia,Moore,<class 'str'>
16,Andrew,Jackson,<class 'str'>
17,Charlotte,Harris,<class 'str'>
18,Joseph,Martin,<class 'str'>
19,Amelia,Thompson,<class 'str'>
20,William,White,<class 'str'>
